55 	Mainz, Simmern/Hunsrück, Bad Kreuznach, Idar-Oberstein
56 	Koblenz, Neuwied, Mayen, Andernach
57 	Siegen, Lennestadt, Olpe, Altenkirchen (Westerwald)
58 	Hagen, Witten, Iserlohn, Lüdenscheid
59 	Hamm, Unna, Soest, Arnsberg
60 	Frankfurt am Main Mitte
61 	Bad Homburg, Friedberg, Bad Vilbel, Oberursel
62 	– (Reserve)
63 	Aschaffenburg, Hanau, Offenbach am Main, Miltenberg
64 	Darmstadt, Bensheim, Heppenheim, Groß-Gerau
65 	Wiesbaden, Limburg an der Lahn, Rüsselsheim am Main, Frankfurt am Main-West
66 	Saarbrücken, Neunkirchen, Homburg, Pirmasens, Zweibrücken
67 	Kaiserslautern, Ludwigshafen am Rhein, Worms, Speyer
68 	Mannheim, Schwetzingen, Lampertheim, Viernheim
69 	Heidelberg, Weinheim, Leimen, Mannheim (nur Postfächer)
70 	Stuttgart, Fellbach, Leinfelden-Echterdingen, Filderstadt
71 	Stuttgarter Umland, Böblingen, Waiblingen, Backnang, Ludwigsburg
72 	Tübingen, Reutlingen, Sigmaringen, Freudenstadt, Balingen, Nürtingen
73 	Göppingen, Esslingen am Neckar, Schwäbisch Gmünd, Aalen
74 	Heilbronn, Bietigheim-Bissingen, Schwäbisch Hall, Crailsheim
75 	Pforzheim, Eppingen, Calw, Mühlacker
76 	Karlsruhe, Baden-Baden, Landau in der Pfalz, Bruchsal
77 	Offenburg, Lahr, Kehl, Achern, Bühl
78 	Villingen-Schwenningen, Donaueschingen, Singen (Hohentwiel), Konstanz, Tuttlingen, Rottweil
79 	Freiburg im Breisgau, Lörrach, Titisee-Neustadt, Waldshut-Tiengen, Emmendingen
80 	München Mitte-Nordwest
81 	München West, Süd, Ost
82 	Münchener Umland (Süd, West), Fürstenfeldbruck, Starnberg, Garmisch-Partenkirchen
83 	Rosenheim, Traunstein, Freilassing, Bad Tölz
84 	Landshut, Waldkraiburg, Dingolfing, Pfarrkirchen
85 	Münchener Umland (Nord, Ost), Ingolstadt, Dachau, Freising, Eichstätt
86 	Augsburg, Donauwörth, Landsberg am Lech, Neuburg a.Donau
87 	Kempten, Kaufbeuren, Memmingen, Marktoberdorf
88 	Friedrichshafen, Lindau (Bodensee), Ravensburg, Biberach an der Riß
89 	Ulm, Neu-Ulm, Heidenheim an der Brenz, Ehingen (Donau)
90 	Nürnberg, Fürth, Zirndorf
91 	Nürnberger Umland, Erlangen, Schwabach, Ansbach, Dinkelsbühl
92 	Amberg, Neumarkt in der Oberpfalz, Weiden in der Oberpfalz, Schwandorf
93 	Regensburg, Cham, Kelheim, Abensberg
94 	Passau, Landau an der Isar, Regen, Straubing
95 	Hof, Bayreuth, Kulmbach, Marktredwitz
96 	Bamberg, Lichtenfels, Coburg, Sonneberg
97 	Würzburg, Schweinfurt, Bad Kissingen, Wertheim
98 	Suhl, Hildburghausen, Ilmenau, Meiningen
99 	Erfurt, Weimar, Mühlhausen/Thüringen, Eisenach
